id,x,y,width,height
add-ons-button,649,314,76,75
alltabs-button,1300,9,28,30
back-button,9,47,33,34
BMB_bookmarksPopup,-1,-1,0,0
BMB_bookmarksToolbarPopup,-1,-1,0,0
BMB_unsortedBookmarksPopup,-1,-1,0,0
bookmarks-bar-chevron,-1,-1,0,0
bookmarks-bar-container,-1,-1,0,0
bookmarks-bar-item,-1,-1,0,0
bookmarks-bar-overflowed-item,-1,-1,0,0
bookmarks-menu-button,566,52,58,24
characterencoding-button,286,193,112,70
copy-button,567,90,79.5,28
cut-button,484.5,90,81.5,28
developer-button,485,394,76,75
downloads-button,627,52,27,24
e10s-button,-1,-1,0,0
edit-controls,484.5,90,245,28
email-link-button,86,264,72,70
feed-button,197,193,72,70
find-button,485,314,76,75
forward-button,42,53,25,23
fullscreen-button,649,234,76,75
history-panelmenu,567,234,76,75
home-button,659,52,27,24
menu-button-button,701,52,27,24
menubar-items,-1,-1,0,0
menubar-menu,-1,-1,0,0
menubar-menuitem,-1,-1,0,0
menubar-other,-1,-1,0,0
nav-bar,-1,-1,0,0
new-tab-button,511,14,28,30
new-window-button,485,155,76,75
open-file-button,86,193,72,70
PanelUI-contents,-1,-1,0,0
PanelUI-menu-button,-1,-1,0,0
paste-button,647.5,90,82.5,28
personal-bookmarks,75,348,156,22
PersonalToolbar,-1,-1,0,0
PlacesChevron,-1,-1,0,0
PlacesToolbarItems,-1,-1,0,0
preferences-button,567,314,76,75 
print-button,485,234,76,75
privatebrowsing-button,567,155,76,75
save-page-button,649,155,76,75
search-container,422,50,142,28
searchbar,-1,-1,0,0
sidebar-button,-1,-1,0,0
social-share-button,-1,-1,0,0
sync-button,197,264,72,70
tabbrowser-tabs,79,14,430,31
tabsclose-button,-1,-1,0,0
TabsToolbar,-1,-1,0,0
tabview-button,306,264,73,70
toolbar-menubar,-1,-1,0,0
urlbar-container,-1,-1,0,0
urlbar-go-button,-1,-1,0,0
urlbar-reload-button,391,53,25,23
urlbar-stop-button,-1,-1,0,0
webrtc-status-button,-1,-1,0,0
zoom-controls,484.5,120,245,28
zoom-in-button,647.5,120,82.5,28
zoom-out-button,484.5,120,81.5,28
zoom-reset-button,567,120,79.5,28
