menu,item,count,length,customcount,customlength
session,total,5179530,5179530,5179530,5179530
canvas,bidi-page-direction-toggle,2,1,0,0
canvas,close-without-interaction,5229,2587,167,86
canvas,custom-page-item,0,0,82,44
canvas,inspect,504,302,8,6
canvas,leave-dom-fullscreen,12,12,0,0
canvas,openframeintab,6,4,1,1
canvas,other-item,64,44,1,1
canvas,reloadframe,8,2,1,1
canvas,saveimage,347,165,0,0
canvas,selectall,20,20,0,0
canvas,sharepage,4,3,0,0
canvas,showonlythisframe,6,6,2,2
canvas,unknown,16,11,0,0
canvas,viewframesource,2,2,0,0
canvas,viewimage,388,285,0,0
image,back,1,1,0,0
image,bidi-page-direction-toggle,15,11,0,0
image,bookmarkframe,1,1,0,0
image,close-without-interaction,162511,89261,84,58
image,copy,13,6,0,0
image,copyimage,42922,16859,1,1
image,copyimage-contents,54671,17205,36,14
image,copylink,5,2,0,0
image,custom-page-item,0,0,15,9
image,inspect,6072,3005,3,3
image,leave-dom-fullscreen,27,26,0,0
image,openframe,2,2,0,0
image,openframeintab,37,29,0,0
image,openlinkintab,17,13,0,0
image,other-item,33497,5521,3,2
image,paste,5,4,0,0
image,printframe,20,13,0,0
image,reloadframe,13,12,0,0
image,reloadimage,5505,2257,3,2
image,saveframe,4,3,0,0
image,saveimage,929874,128259,269,57
image,searchselect,1,1,0,0
image,sendimage,4482,3637,0,0
image,setDesktopBackground,5328,3273,3,3
image,shareimage,151,135,0,0
image,showonlythisframe,53,35,0,0
image,unknown,2049,796,1,1
image,viewframeinfo,5,4,0,0
image,viewframesource,6,6,0,0
image,viewimage,100148,35407,30,18
image,viewimageinfo,5552,3098,0,0
image,viewinfo,1,1,0,0
image,viewsource,1,1,0,0
image-link,back,2,1,0,0
image-link,bidi-page-direction-toggle,32,18,0,0
image-link,bookmarkframe,1,1,0,0
image-link,bookmarklink,1419,966,5,5
image-link,close-without-interaction,224042,119723,1070,743
image-link,copy,238,36,0,0
image-link,copyemail,462,58,0,0
image-link,copyimage,22520,9834,10,9
image-link,copyimage-contents,39668,11780,23,12
image-link,copylink,31502,7308,43,24
image-link,custom-page-item,0,0,1494,270
image-link,inspect,4231,2088,4,3
image-link,leave-dom-fullscreen,1,1,0,0
image-link,openframe,2,2,0,0
image-link,openframeintab,14,12,0,0
image-link,openlink,34860,9181,52,47
image-link,openlinkincurrent,761,37,0,0
image-link,openlinkintab,1802192,245435,13840,2468
image-link,openlinkprivate,10327,3573,40,34
image-link,other-item,30216,4651,242,51
image-link,paste,36,10,0,0
image-link,printframe,21,11,0,0
image-link,reload,23,3,0,0
image-link,reloadframe,10,8,0,0
