date,ap,distinctHack,submitted,distance,deployed,links,fields,recharged,captured,distinctCap,mods,destroyed,held,hacked,glyph
1405434824209,5703311,619,0,0,14753,4197,822,4989408,1004,228,0,7744,144,10885,0
1405694327287,5903311,619,0,0,14922,4223,829,5169411,1027,231,0,8016,144,10990,0
1405951207264,5968949,635,0,0,15083,4252,846,5391967,1040,232,0,8059,144,11097,0
1406128066149,6004598,636,0,0,15174,4270,853,5558850,1049,233,0,8107,144,11195,0
1406299773000,6005533,636,0,0,15175,4270,853,5591842,1049,233,0,8107,144,11214,0
1406908363000,6075514,645,0,0,15348,4292,865,5935414,1063,237,0,8167,144,11304,0
1407167233000,6097269,645,0,0,15402,4307,870,5991589,1067,237,0,8167,144,11339,0
1407727744000,6129193,645,0,0,15447,4324,875,6345874,1069,237,0,8207,144,11427,0
1407979772000,6174327,645,0,0,15529,4339,884,6438035,1078,237,0,8290,144,11485,0
1408544772000,6214025,645,0,0,15590,4353,886,6554016,1085,238,0,8361,144,11516,0
1408975277000,6306873,645,0,0,15839,4387,893,6714205,1110,240,0,8520,144,11647,0
1410547095000,6446777,648,0,0,16169,4434,906,7184526,1137,245,0,8743,144,11896,0
1410789378000,6462323,648,0,0,16194,4439,909,7584937,1138,245,0,8761,144,11936,0
1410890803000,6508453,648,0,0,16265,4447,913,7693812,1149,247,0,8879,144,11986,0
1411159895000,6577670,652,0,0,16418,4474,928,7956295,1161,248,0,8939,144,12121,0
1411359835000,6674065,688,0,0,16587,4490,934,8018558,1183,267,0,9232,144,12204,0
1412264289000,6755905,691,0,0,16783,4518,943,8224007,1205,267,0,9360,144,12314,0
1414183096000,6935668,707,0,0,17260,4565,959,8626700,1251,270,0,9745,144,12570,0
1422460955000,7636471,786,1,420,18407,4733,1023,11700653,1354,295,79,10532,144,13341,0
1423095673000,7671995,788,1,426,18481,4746,1026,12159800,1361,296,97,10559,144,13423,82
