id,dxr,spec,qx_status
306730,yes,yes,submitted
613785,no,yes,not_ready
658467,no,yes,not_ready
674925,no,yes,not_ready
871158,no,no,not_ready
942682,no,no,not_ready
947854,no,yes,not_ready
986868,no,yes,not_ready
980007,yes,yes,submitted
980090,yes,yes,submitted
985659,yes,yes,submitted
986970,yes,yes,submitted
995758,yes,yes,not_ready
1029761,no,yes,not_ready
1036929,no,no,submitted
1041514,no,yes,not_ready
1073234,yes,yes,submitted
1091592,no,yes,not_ready
1102710,no,yes,not_ready
1109477,yes,yes,submitted
1111094,no,yes,not_ready
1111100,yes,yes,submitted
1111138,yes,yes,submitted
1111144,no,no,submitted
1111145,no,yes,not_ready
1117722,yes,yes,submitted
1119219,yes,yes,submitted
1119873,no,no,submitted
1123294,no,no,submitted
1136732,yes,yes,not_ready
