id,x,y,width,height
add-ons-button,1085.1500244140625,444.1000061035156,81.85000610351562,75.19999694824219
alltabs-button,1299,9,28,30
back-button,37,43,32,33
BMB_bookmarksPopup,1190.9833984375,47,0,0
BMB_bookmarksToolbarPopup,0,0,0,0
BMB_unsortedBookmarksPopup,0,0,0,0
bookmarks-bar-chevron,-1,-1,0,0
bookmarks-bar-container,-1,-1,0,0
bookmarks-bar-item,-1,-1,0,0
bookmarks-bar-overflowed-item,-1,-1,0,0
bookmarks-menu-button,1190.9833984375,47,58,24
characterencoding-button,399.066650390625,170.25,71.86666870117188,46
copy-button,1169,133.5,79.85000610351562,28.5
cut-button,1086.1500244140625,133.5,81.85000610351562,28.5
developer-button,1167,444.1000061035156,81.85000610351562,75.19999694824219
downloads-button,1250.9833984375,47,28,24
e10s-button,1167,198.5,81.85000610351562,75.19999694824219
edit-controls,1085.1500244140625,132.5,247.5500030517578,30.5
email-link-button,509.066650390625,170.25,71.86666870117188,46
feed-button,289.066650390625,170.25,71.86666870117188,46
find-button,1167,360.8999938964844,81.85000610351562,75.20001220703125
forward-button,30.98333740234375,47,32,24
fullscreen-button,1085.1500244140625,360.8999938964844,81.85000610351562,75.20001220703125
history-panelmenu,1248.8499755859375,279.70001220703125,81.84999084472656,75.19999694824219
home-button,1282.9833984375,47,28,24
menu-button-button,-1,-1,0,0
menubar-items,22,9,0,0
menubar-menu,-1,-1,0,0
menubar-menuitem,-1,-1,0,0
menubar-other,-1,-1,0,0
nav-bar,22,39,1348,40
new-tab-button,1271,9,28,30
new-window-button,1085.1500244140625,198.5,81.85000610351562,75.19999694824219
open-file-button,69.06666564941406,170.25,71.86666870117188,46
PanelUI-contents,1085.1500244140625,127,245.85000610351562,626
PanelUI-menu-button,1332,47,28,24
paste-button,1249.8499755859375,133.5,81.84999084472656,28.5
personal-bookmarks,35,79,173.39999389648438,19
PersonalToolbar,22,79,1348,23
PlacesChevron,0,0,0,0
PlacesToolbarItems,0,0,0,0
preferences-button,1248.8499755859375,360.8999938964844,81.84999084472656,75.20001220703125
print-button,1167,279.70001220703125,81.85000610351562,75.19999694824219
privatebrowsing-button,1248.8499755859375,198.5,81.84999084472656,75.19999694824219
save-page-button,1085.1500244140625,279.70001220703125,81.85000610351562,75.19999694824219
search-container,924.9500122070312,43,266.0333251953125,32
searchbar,924.9500122070312,47,266.0333251953125,24
sidebar-button,179.06666564941406,170.25,71.86666870117188,46
social-share-button,0,0,0,0
sync-button,619.066650390625,170.25,71.86666870117188,46
tabbrowser-tabs,103,9,1168,31
tabsclose-button,-1,-1,0,0
TabsToolbar,22,9,1348,31
tabview-button,729.066650390625,170.25,71.86666870117188,46
toolbar-menubar,22,9,1348,0
urlbar-container,35,43,889.9500122070312,32
urlbar-go-button,896.9500122070312,49,0,20
urlbar-reload-button,896.9500122070312,49,19,20
urlbar-stop-button,915.9500122070312,49,0,20
webrtc-status-button,0,0,0,0
zoom-controls,1085.1500244140625,162,247.5500030517578,30.5
zoom-in-button,1249.8499755859375,163,81.84999084472656,28.5
zoom-out-button,1086.1500244140625,163,81.85000610351562,28.5
zoom-reset-button,1169,163,79.85000610351562,28.5
