sys_info,item,subitem,instances_per_session,sessions_with_occurrence
WINNT,bookmarksBarEnabled,True,120.6667,120.6667
WINNT,bookmarksBarEnabled,False,99.6667,99.6667
WINNT,addonToolbars,0,204.6667,204.6667
WINNT,addonToolbars,1,13.0,13.0
WINNT,addonToolbars,3,1.0,1.0
WINNT,addonToolbars,2,1.0,1.0
WINNT,addonToolbars,5,0.6667,0.6667
WINNT,features_kept,social-share-button,220.3333,220.3333
WINNT,features_kept,menubar-items,220.3333,220.3333
WINNT,features_kept,tabbrowser-tabs,220.3333,220.3333
WINNT,features_kept,add-ons-button,220.3333,220.3333
WINNT,features_kept,tabs-closebutton,220.3333,220.3333
WINNT,features_kept,webrtc-status-button,220.3333,220.3333
WINNT,features_kept,alltabs-button,220.3333,220.3333
WINNT,features_kept,urlbar-container,220.3333,220.3333
WINNT,features_kept,personal-bookmarks,220.0,220.0
WINNT,features_kept,edit-controls,217.6667,217.6667
WINNT,features_kept,new-tab-button,217.6667,217.6667
WINNT,features_kept,print-button,217.0,217.0
WINNT,features_kept,history-panelmenu,217.0,217.0
WINNT,features_kept,find-button,217.0,217.0
WINNT,features_kept,zoom-controls,216.0,216.0
WINNT,features_kept,preferences-button,214.3333,214.3333
WINNT,features_kept,new-window-button,214.3333,214.3333
WINNT,features_kept,fullscreen-button,214.0,214.0
WINNT,features_kept,save-page-button,214.0,214.0
WINNT,features_kept,search-container,213.6667,213.6667
WINNT,features_kept,developer-button,213.0,213.0
WINNT,features_kept,privatebrowsing-button,212.6667,212.6667
WINNT,features_kept,home-button,210.6667,210.6667
WINNT,features_kept,downloads-button,204.6667,204.6667
WINNT,features_kept,bookmarks-menu-button,203.3333,203.3333
WINNT,features_kept,switch-to-metro-button,52.6667,52.6667
WINNT,features_kept,characterencoding-button,6.0,6.0
WINNT,customize,move,4.3333,0.6667
WINNT,customize,start,0.6667,0.3333
WINNT,customize,add,0.3333,0.3333
WINNT,customize,remove,0.3333,0.3333
WINNT,duration_bucket,__DEFAULT__,106076.5207,4.3333
WINNT,duration_bucket,bucket_UITour|australis-tour-aurora-29.0a2|inactive|10m,12066.3536,0.6667
WINNT,menuBarEnabled,False,135.6667,135.6667
WINNT,menuBarEnabled,True,84.6667,84.6667
WINNT,sizemode,maximized,202.0,202.0
WINNT,sizemode,normal,17.3333,17.3333
WINNT,sizemode,fullscreen,1.0,1.0
WINNT,titleBarEnabled,False,212.0,212.0
WINNT,titleBarEnabled,True,8.3333,8.3333
WINNT,features_removed,downloads-button,9.3333,9.3333
WINNT,features_removed,bookmarks-menu-button,7.3333,7.3333
WINNT,features_removed,search-container,6.6667,6.6667
WINNT,features_removed,home-button,5.3333,5.3333
WINNT,features_removed,developer-button,4.6667,4.6667
WINNT,features_removed,fullscreen-button,3.6667,3.6667
WINNT,features_removed,privatebrowsing-button,3.6667,3.6667
WINNT,features_removed,save-page-button,3.6667,3.6667
WINNT,features_removed,find-button,3.3333,3.3333
WINNT,features_removed,switch-to-metro-button,1.3333,1.3333
WINNT,features_removed,print-button,0.6667,0.6667
WINNT,features_removed,new-tab-button,0.3333,0.3333
WINNT,features_removed,new-window-button,0.3333,0.3333
WINNT,features_removed,personal-bookmarks,0.3333,0.3333
