UpdateChannel,ProductVersion,Total,Percentage
release,28,120803598,85.87%
release,27.0.1,4022153,2.86%
release,26,2987866,2.12%
release,25.0.1,1467526,1.04%
release,12,1005302,0.71%
release,24,852670,0.61%
release,25,781180,0.56%
release,22,674777,0.48%
release,21,645058,0.46%
release,23.0.1,639853,0.45%
release,27,448429,0.32%
release,20.0.1,383602,0.27%
release,17.0.1,362464,0.26%
release,15.0.1,324775,0.23%
release,19.0.2,314069,0.22%
release,11,309348,0.22%
release,14.0.1,283859,0.20%
release,16.0.2,256438,0.18%
release,9.0.1,233092,0.17%
release,13.0.1,196863,0.14%
release,10.0.2,184167,0.13%
release,7.0.1,166391,0.12%
release,16.0.1,166340,0.12%
release,18.0.2,157324,0.11%
release,4,151459,0.11%
release,19,150227,0.11%
release,18.0.1,144615,0.10%
release,4.0.1,144186,0.10%
release,29,141190,0.10%
release,8.0.1,138389,0.10%
release,3.0.19,130254,0.09%
release,23,129883,0.09%
release,15,111439,0.08%
release,5,107315,0.08%
release,18,97414,0.07%
release,13,96063,0.07%
release,20,95295,0.07%
release,6.0.2,95063,0.07%
release,17,94939,0.07%
release,10,93780,0.07%
release,5.0.1,92816,0.07%
release,8,86568,0.06%
release,3.6.13,80079,0.06%
release,3.6.28,75038,0.05%
release,6,67492,0.05%
release,10.0.1,48212,0.03%
release,3.6.3,45186,0.03%
release,3.6,42198,0.03%
release,2.20,36588,0.03%
release,16,31515,0.02%
release,3.6.12,31155,0.02%
release,3.6.18,29378,0.02%
release,3.6.8,28371,0.02%
release,7,25037,0.02%
release,3.6.10,23274,0.02%
release,6.0.1,22266,0.02%
release,9,21972,0.02%
release,3.5.3,17383,0.01%
release,3.5.5,15951,0.01%
release,3.6.6,15570,0.01%
release,19.0.1,14500,0.01%
release,3.6.15,14317,0.01%
release,3.0.3,14287,0.01%
release,3,13459,0.01%
release,3.5.6,11587,0.01%
release,3.5.2,9269,0.01%
release,3.5,8699,0.01%
release,3.0.1,8602,0.01%
release,3.5.19,8410,0.01%
release,3.6.25,8291,0.01%
release,3.6.17,7761,0.01%
release,3.6.2,7680,0.01%
release,3.6.24,7064,0.01%
release,3.6.11,6751,0.00%
release,3.6.16,6570,0.00%
release,3.6.4,6184,0.00%
